workerID	Answer.gender	Answer.age	Answer.income	Answer.nativeLanguage	Answer.conditions	Answer.orders	Answer.personAs	Answer.personBs	Answer.foods	Answer.totalQuants	Answer.eatenQuants	Answer.preciseEatenQuants	Answer.quantifiers	Answer.affects
1	F	35	4	English	true-some,hyperbolic,hyperbolic,literal-some,ironic,hyperbolic,true-all	1,2,3,4,5,6,7	Kathy,Diana,Mary,Heather,Zack,Rebecca,Oliver	Yvonne,Henry,Ivan,Matt,Stephanie,Frank,Fiona	pies,blueberries,bananas,pies,bananas,M&M's,cookies	100,100,10,10,10,10,10	3,9,7,10,0,8,10	35,90,7,10,0,8,10	some,all,all,some,all,all,all	She is upset,she is angry,she is disgusted,she is outraged,he is mistaken,she is crazed,he is upset
2	M	35	8	English	hyperbolic,hyperbolic,literal-some,true-some,ironic,true-all,hyperbolic	1,2,3,4,5,6,7	Olga,Tracy,Rebecca,Cathy,Steven,Bob,Diana	Henry,Larry,Jake,Lena,Winston,Kathy,Iris	cookies,cookies,pies,bananas,cookies,M&M's,cookies	100,10,100,100,10,100,100	8,9,10,3,0,10,7	84,9,100,35,0,100,70	all,all,some,some,all,all,all	She feels irritated by Henry's behavior.,Tracy feels anger towards Larry for eating all the cookies.,Rebecca feels disgust towards Jake for eating all those pies.,Cathy felt surprise that Lena can eat so many bananas.,Steven was confused as to why Winston ate some many cookies but not his.,Bob is annoyed that Kathy greedily ate all the M&M's from everyone else.,Diana is frustrated that one person  Iris  ate so many of her cookies.
3	M	35	4	English	hyperbolic,ironic,hyperbolic,literal-some,true-some,true-all,hyperbolic	1,2,3,4,5,6,7	Mary,Henry,Calvin,Oliver,Frank,Barbara,Cathy	Grace,Fiona,Larry,Emma,Yvonne,Winston,Albert	cookies,M&M's,bananas,cookies,pies,blueberries,strawberries	100,10,10,10,100,10,10	8,0,7,10,3,10,9	85,0,7,10,35,10,9	all,all,all,some,some,all,all	Mary is mad Grace ate most of the cookies,Henry feels confused about who ate them,Calvin is mad that Larry ate most of the bananas,Oliver is mad at how many cookies Emma ate,Frank is mad that Yvonne ate a lot of the pies,Barbara is mad that Winston ate all of the blueberries,Cathy is angry at how many Albert ate
4	F	35	6	English	true-all,hyperbolic,ironic,literal-some,hyperbolic,true-some,hyperbolic	1,2,3,4,5,6,7	Oliver,Henry,Patty,Bob,Lena,Heather,Larry	Grace,Fiona,Tracy,Kevin,Kathy,Stephanie,Edward	M&M's,blueberries,bananas,blueberries,blueberries,pies,bananas	10,100,100,100,10,100,10	10,9,0,10,8,3,7	10,98,6,100,8,36,7	all,all,all,some,all,some,all	Oliver's angry that Grace ate all the M&M's without sharing it with others,Henry feels Fiona's selfish,Patty feels Tracy deserved less banana,Bob feels Kevin's selfish,Lena is angry that Kathy ate majority of the blueberries,Heather feels appreciated that Heather ate some of her pies,Larry feels Edward is selfish
5	F	25	8	English	ironic,hyperbolic,hyperbolic,hyperbolic,true-some,literal-some,true-all	1,2,3,4,5,6,7	Patty,Grace,Jake,Rebecca,Winston,Kevin,Nancy	Olga,Heather,Albert,Victoria,Cathy,Mary,Barbara	M&M's,strawberries,M&M's,pies,cookies,blueberries,blueberries	10,10,100,100,10,10,10	0,9,7,8,3,10,10	0,9,75,80,3,10,10	all,all,all,all,some,some,all	She hates her so much  she'd make up lies about her.,She felt like she actually ate them all.,He's mad that he didn't share.,She feels like Victoria is deadly obease and needs help.,She feels neutral toward her.,He wants to stick up for her.,She's upset she didn't share.
6	M	35	6	english	ironic,hyperbolic,literal-some,hyperbolic,true-all,true-some,hyperbolic	1,2,3,4,5,6,7	Rebecca,Diana,Jane,Oliver,Robert,Heather,Grace	Zack,Kathy,Victor,Mary,Winston,Lena,Victoria	blueberries,M&M's,bananas,bananas,strawberries,pies,bananas	100,10,100,100,100,100,100	0,9,10,7,10,3,8	3,9,100,77,100,38,84	all,all,some,all,all,some,all	rebecca is mad zack ate all the blueberries ,diana is mad kathy ate all of the m&ms,jane doesn't mind that victor ate some bananas ,oliver is mad mary ate all the bananas,robert is mad winston ate all the strawberries,heather doesn't mind that lena ate some of the pies,grave is mad victoria ate all the bananas
7	M	25	8	English	true-all,hyperbolic,literal-some,ironic,hyperbolic,true-some,hyperbolic	1,2,3,4,5,6,7	Barbara,Edward,Matt,Ann,Oliver,Heather,Winston	Rebecca,Patrick,Diana,Albert,Wendy,Iris,Nancy	blueberries,cookies,pies,strawberries,cookies,blueberries,bananas	10,100,100,100,100,100,100	10,7,10,0,8,3,9	10,76,100,8,86,36,99	all,all,some,all,all,some,all	Barbara is upset that Rebecca ate all of the blueberries Barbara brought to the party.,Edward is annoyed that Patrick ate most of the cookies brought to the party.,Matt is angry that Diana ate all of the pies he brought to the party.,Ann is incorrectly angry that Albert ate all of the strawberries; he only ate a small amount of them.,Oliver is upset that Wendy ate most of the cookies he brought to the party.,Heather is annoyed that Iris ate all of the blueberries  even though she didn't.,Winston is upset that Nancy ate all of the bananas  except for one.
8	M	25	6	english	true-all,hyperbolic,true-some,literal-some,ironic,hyperbolic,hyperbolic	1,2,3,4,5,6,7	Zack,Albert,Olga,Wendy,Kathy,Kevin,Calvin	David,Barbara,Larry,Victor,Cathy,Robert,Victoria	M&M's,blueberries,pies,bananas,blueberries,cookies,strawberries	100,100,10,10,100,10,100	10,7,3,10,0,9,8	100,74,3,10,7,9,82	all,all,some,some,all,all,all	Annoyed,surprised,Irked,Mad,Unphased,pissed,upset
9	M	45	4	English	hyperbolic,ironic,true-some,literal-some,hyperbolic,true-all,hyperbolic	1,2,3,4,5,6,7	Matt,Zack,Albert,Tracy,Robert,Barbara,Bob	Yvonne,Mary,Steven,Rebecca,Ivan,Iris,Frank	strawberries,strawberries,M&M's,M&M's,blueberries,cookies,bananas	10,100,10,10,100,10,100	9,0,3,10,7,10,8	9,5,3,10,73,10,83	all,all,some,some,all,all,all	Matt feels displeased.,Zack feels upset.,Albert feels surprised.,Tracy feels surprised.,Robert feels displeased.,Barbara feels shocked.,Bob feels stunned.
10	F	45	6	english	hyperbolic,hyperbolic,ironic,literal-some,true-some,true-all,hyperbolic	1,2,3,4,5,6,7	Victor,Grace,Yvonne,Kevin,Mary,Jake,Oliver	Larry,Wendy,Winston,Fiona,Zack,Robert,Henry	blueberries,pies,cookies,pies,cookies,cookies,cookies	100,100,10,100,10,10,10	9,7,0,10,3,10,8	90,71,0,100,3,10,8	all,all,all,some,some,all,all	Larry is selfish!,Wendy is a pig.,I feel bad  I don't think Winston liked the cookies I brought.,I'm annoyed that Fiona ate all the pies and didn't allow anyone else to try them.,I'm glad that Zack enjoyed the cookies!,It's so frustrating that Robert ate all the cookies.,Henry is so selfish to eat the majority of the cookies I brought.
11	F	55	4	English.	true-all,true-some,literal-some,ironic,hyperbolic,hyperbolic,hyperbolic	1,2,3,4,5,6,7	Victoria,Grace,Nancy,Ivan,Cathy,Patty,Heather	Albert,Tom,Frank,Yvonne,Calvin,Ann,Tracy	M&M's,pies,M&M's,bananas,bananas,blueberries,M&M's	10,100,100,100,10,10,100	10,3,10,0,8,9,7	10,34,100,7,8,9,75	all,some,some,all,all,all,all	Felt that Albert was very Selfish.,Grace was surprised at how many pies Tom ate,Nancy was not happy that Frank at all of the M&M's at the party,Ivan thinks that Yvonne love's banana's.,Cathy thought that Calvin should not have eaten 8 bananas.,Patty was not happy that Ann ate 9 blueberries and was very selfish and didn't think about other's.,Heather was very unsatisfied that Tracey at most of the M&M's.
