workerID,gender,age,income,language,order,pesonA,personB,food,totalQuant,eatenQuant,preciseEatenQuant,probAffect
AU2FEBOQUK4PE,M,25,4,English,1,Ann,Henry,pies,10,3,3,0.725
AU2FEBOQUK4PE,M,25,4,English,2,Edward,Winston,bananas,100,9,94,0.975
AU2FEBOQUK4PE,M,25,4,English,3,Jake,Robert,blueberries,100,9,97,0.975
AU2FEBOQUK4PE,M,25,4,English,4,Heather,Calvin,bananas,100,5,58,1
AU2FEBOQUK4PE,M,25,4,English,5,Nancy,Nathan,strawberries,10,7,7,0.975
AU2FEBOQUK4PE,M,25,4,English,6,Kathy,Yvonne,M&M's,10,0,0,0.025
AU2FEBOQUK4PE,M,25,4,English,7,Cathy,Patrick,M&M's,100,10,100,0.5
AU2FEBOQUK4PE,M,25,4,English,8,Larry,Oliver,strawberries,10,2,2,0.1
AU2FEBOQUK4PE,M,25,4,English,9,Steven,Wendy,M&M's,100,9,94,0.975
AU2FEBOQUK4PE,M,25,4,English,10,Grace,Kevin,pies,10,0,0,0
AU2FEBOQUK4PE,M,25,4,English,11,David,Tracy,bananas,10,7,7,0.85
AU2FEBOQUK4PE,M,25,4,English,12,Patty,Victoria,bananas,10,8,8,0.8
AU2FEBOQUK4PE,M,25,4,English,13,Emma,Barbara,blueberries,10,0,0,0
AU2FEBOQUK4PE,M,25,4,English,14,Albert,Ivan,cookies,10,6,6,0.625
AU2FEBOQUK4PE,M,25,4,English,15,Jane,Zack,cookies,100,5,55,0.525
AU2FEBOQUK4PE,M,25,4,English,16,Tom,Rebecca,strawberries,100,10,100,0.975
AU2FEBOQUK4PE,M,25,4,English,17,Diana,Victor,pies,100,6,61,0.975
AU2FEBOQUK4PE,M,25,4,English,18,Matt,Stephanie,strawberries,100,4,45,0.975
AU2FEBOQUK4PE,M,25,4,English,19,Bob,George,bananas,10,3,3,0.425
AU2FEBOQUK4PE,M,25,4,English,20,Fiona,Frank,strawberries,100,3,34,0.6
AU2FEBOQUK4PE,M,25,4,English,21,Iris,Olga,blueberries,100,3,33,0.575
AU2FEBOQUK4PE,M,25,4,English,22,Mary,Lena,cookies,10,7,7,0.75
ASWM4CCJAAHS0,F,25,6,English,1,Victor,Grace,bananas,100,6,60,1
ASWM4CCJAAHS0,F,25,6,English,2,Nancy,Victoria,cookies,10,5,5,0.575
ASWM4CCJAAHS0,F,25,6,English,3,Robert,Olga,pies,10,2,2,1
ASWM4CCJAAHS0,F,25,6,English,4,Winston,Kathy,cookies,100,10,100,1
ASWM4CCJAAHS0,F,25,6,English,5,Oliver,Patrick,bananas,100,3,33,0.75
ASWM4CCJAAHS0,F,25,6,English,6,Heather,Larry,blueberries,100,3,37,0.3
ASWM4CCJAAHS0,F,25,6,English,7,Mary,Kevin,bananas,100,4,44,0.725
ASWM4CCJAAHS0,F,25,6,English,8,Diana,Iris,M&M's,100,7,75,0.65
ASWM4CCJAAHS0,F,25,6,English,9,Ann,Calvin,M&M's,100,5,51,0.525
ASWM4CCJAAHS0,F,25,6,English,10,Bob,Nathan,strawberries,10,4,4,0
ASWM4CCJAAHS0,F,25,6,English,11,Jake,George,blueberries,100,2,22,0.175
ASWM4CCJAAHS0,F,25,6,English,12,Tom,Matt,bananas,10,0,0,0
ASWM4CCJAAHS0,F,25,6,English,13,Emma,Barbara,pies,100,10,100,1
ASWM4CCJAAHS0,F,25,6,English,14,Rebecca,Steven,bananas,10,8,8,0.85
ASWM4CCJAAHS0,F,25,6,English,15,David,Cathy,blueberries,10,7,7,0
ASWM4CCJAAHS0,F,25,6,English,16,Edward,Stephanie,M&M's,100,1,12,0
ASWM4CCJAAHS0,F,25,6,English,17,Frank,Wendy,blueberries,10,2,2,0
ASWM4CCJAAHS0,F,25,6,English,18,Albert,Ivan,pies,10,4,4,1
ASWM4CCJAAHS0,F,25,6,English,19,Tracy,Henry,M&M's,100,2,21,0
ASWM4CCJAAHS0,F,25,6,English,20,Jane,Lena,cookies,100,6,66,1
ASWM4CCJAAHS0,F,25,6,English,21,Yvonne,Zack,cookies,10,8,8,0.75
ASWM4CCJAAHS0,F,25,6,English,22,Fiona,Patty,M&M's,10,2,2,0
A2RMODQCL071B5,F,25,4,arabic,1,Henry,Albert,bananas,100,4,43,0.25
A2RMODQCL071B5,F,25,4,arabic,2,Tom,Matt,cookies,100,10,100,0.25
A2RMODQCL071B5,F,25,4,arabic,3,Jane,Patty,blueberries,10,1,1,0
A2RMODQCL071B5,F,25,4,arabic,4,Fiona,Victor,M&M's,10,3,3,0
A2RMODQCL071B5,F,25,4,arabic,5,Bob,Yvonne,pies,10,9,9,0.6
A2RMODQCL071B5,F,25,4,arabic,6,Winston,Lena,blueberries,100,1,19,0.25
A2RMODQCL071B5,F,25,4,arabic,7,Stephanie,Zack,M&M's,10,9,9,0.75
A2RMODQCL071B5,F,25,4,arabic,8,Steven,Ann,strawberries,10,9,9,0.75
A2RMODQCL071B5,F,25,4,arabic,9,Diana,Oliver,bananas,10,8,8,0.75
A2RMODQCL071B5,F,25,4,arabic,10,Frank,Barbara,cookies,10,8,8,0.75
A2RMODQCL071B5,F,25,4,arabic,11,Mary,Emma,cookies,100,2,20,0.25
A2RMODQCL071B5,F,25,4,arabic,12,Ivan,Olga,blueberries,10,3,3,0.25
A2RMODQCL071B5,F,25,4,arabic,13,Robert,George,blueberries,10,4,4,0.275
A2RMODQCL071B5,F,25,4,arabic,14,Patrick,Grace,cookies,10,10,10,1
A2RMODQCL071B5,F,25,4,arabic,15,Jake,Iris,blueberries,10,10,10,1
A2RMODQCL071B5,F,25,4,arabic,16,Nathan,Tracy,blueberries,10,2,2,0.075
A2RMODQCL071B5,F,25,4,arabic,17,Kathy,Rebecca,cookies,10,1,1,0
A2RMODQCL071B5,F,25,4,arabic,18,Larry,Wendy,blueberries,100,7,72,0.775
A2RMODQCL071B5,F,25,4,arabic,19,Edward,Calvin,blueberries,100,10,100,1
A2RMODQCL071B5,F,25,4,arabic,20,David,Nancy,strawberries,10,8,8,0.75
A2RMODQCL071B5,F,25,4,arabic,21,Victoria,Kevin,M&M's,100,4,46,0.6
A2RMODQCL071B5,F,25,4,arabic,22,Heather,Cathy,pies,100,2,26,0.225
A2LVAD3U0MFOIM,F,35,10,English,1,Patty,Edward,cookies,10,8,8,0.75
A2LVAD3U0MFOIM,F,35,10,English,2,Kevin,Cathy,strawberries,100,4,40,0.625
A2LVAD3U0MFOIM,F,35,10,English,3,Kathy,Robert,strawberries,10,3,3,0.15
A2LVAD3U0MFOIM,F,35,10,English,4,David,Rebecca,M&M's,10,7,7,0.2
A2LVAD3U0MFOIM,F,35,10,English,5,Patrick,Calvin,blueberries,100,0,0,0
