Item_ID	Sentence	Word	POS	Phrase	Partitive	LenSentence
26:56	i mean, we didn't have, you know, like six months *-1 to check all of these places out.	all		NP	yes	19
41:72	you know, is there something else 0 we could have done *t*-1, you know, in *-2 checking out all the places that, uh, *t*-3 might be available.	all		NP	no	27
42:36	of course, you know, there's not one on every corner, especially, you know, smaller areas, smaller towns.	every		NP	no	18
76:61	i mean, she tr-, she had, she had children all across the united states	all		NP	no	14
96:134	i mean, for somebody who *t*-1 is, you know, for most of their life has, has, uh, not just merely had a farm but had ten children had a farm, ran everything because her husband was away in the coal mines.	everything		NP	no	41
119:4	all the brothers and sisters got together	all		NP-SBJ	no	7
189:53	of course, she would, she would not have been happy there at all.	all		ADVP	no	13
204:30	and also her several grandchildren, came and visited her every day.	every		NP-TMP	no	11
257:124	i think, i think, i think, 0 you know for myself i, i see that as probably the, the, what everything would hinge upon *t*-1.	everything		NP-SBJ	no	25
325:23	i mean they raised us after all.	all		ADVP	no	7
331:73	but, uh, i, i, i think that, you know, we always, uh, i mean, i've, i've had a lot of good experiences with, uh, with many many people especially where they've had, uh, extended family *t*-1.	always		ADVP-TMP	no	39
430:34	um, you see people wearing, you know, all different attire.	all		NP	no	10
441:104	i've recently, um, tried *-1 to update my wardrobe, *-1 trying *-4 to put suits *ich*-2 together that i can interchange, *t*-3 the, jackets and the blouses and all that a lot.	all		NP	no	33
496:12	their attire is always the same, you know.	always		ADVP-TMP	no	8
590:25	i guess 0 we've discussed everything *ich*-2 0 there is *t*-1 about clothing.	everything		NP	no	14
652:26	apparently it's going *-1 to win everything.	everything		NP	no	8
656:77	uh, and i had been told *-1, you know, 0 you wouldn't notice that it was three hours long, and all this, kind of,	all		NP	no	25
664:20	and, and all the critics initially said that, you know, it wouldn't go anywhere, that it was just going *-1 to be a dud.	all		NP-SBJ	no	25
698:10	i go every weekend.	every		NP-TMP	no	4
766:37	and whether it, whether it won all kinds of awards or whether it just was okay at the box office, i think 0 he would have been happy.	all		NP	no	28
789:14	as a recurring character every week?	every		NP-ADV	no	6
799:41	now see, i'd, i'd a never put those two together.	never		ADVP-TMP	no	12
811:55	it was him, but with a you know, with the beard and all that stuff.	all		NP	no	15
1009:10	and then all of, a sudden you get your thirty a week because now, they're advertising you.	all		NP	yes	18
1102:43	and which *t*-1 isn't of, always the case in all cultures,	always		ADVP-TMP	no	12
1102:54	and which *t*-1 isn't of, always the case in all cultures,	all		NP	no	12
1117:86	and it's obvious, you know, the results of sex are quite obvious,, as the population goes up an extra hundred million every few years.	every		NP-TMP	no	25
1154:22	and you have *-1 to stop everything *-2 to run to the phone.	everything		NP	no	13
1172:17	or you hear somebody all ready starting, reading off a list of stuff that they've read *t*-1 probably a thousand times that day already.	all		TYPO	no	25
1189:29	and most of them aren't from anybody at all.	all		ADVP	no	10
1191:46	what i would love *-2 to see *t*-1 done * to stop all of this,	all		NP	yes	15
1201:64	i think 0 it *exp*-1's great, that you know, freedom of speech in this country and everything,	everything		NP	no	18
1202:48	but if they're going *-1 to offer these services, or these recorded message, everything, they ought *-2 to be stuck *-3 * working with the phone book like everybody else instead of using a computer *-4 to go through and just go down every sequence of numbers for this certain area code and call them.	everything		NP	no	56
1202:142	but if they're going *-1 to offer these services, or these recorded message, everything, they ought *-2 to be stuck *-3 * working with the phone book like everybody else instead of using a computer *-4 to go through and just go down every sequence of numbers for this certain area code and call them.	every		NP	no	56
