workerid	Answer.gender	Answer.age	Answer.income	Answer.nativeLanguage	Answer.orders	Answer.foods	Answer.quantities	Answer.personAs	Answer.personBs	Answer.priors0	Answer.priors1	Answer.priors2	Answer.priors3	Answer.priors4	Answer.priors5	Answer.priors6	Answer.priors7	Answer.priors8	Answer.priors9	Answer.priors10
AMJAP6BGF5LVM	M	35	4	English	"1,2,3,4,5,6"	"pies,blueberries,bananas,strawberries,M&M's,cookies"	"100,10,100,10,10,100"	"Fiona,David,Calvin,Ann,Albert,Edward"	"Frank,Emma,Cathy,Barbara,Bob,Diana"	"0.6,0.825,0.875,0.875,0.675,0.85"	"0.05,0.85,0.125,0.9,0.85,0.4"	"0.025,0.9,0.075,0.9,0.9,0.175"	"0,0.8,0.05,0.725,0.75,0.1"	"0,0.7,0.05,0.625,0.575,0.075"	"0,0.55,0.025,0.5,0.35,0.075"	"0,0.4,0,0.375,0.2,0.05"	"0,0.3,0,0.225,0.1,0.05"	"0,0.25,0,0.15,0.05,0.05"	"0,0.175,0,0.1,0.025,0.05"	"0,0.1,0,0.1,0,0.075"
ALLRDNLLV5MTY	F	35	4	English	"1,2,3,4,5,6"	"bananas,pies,blueberries,M&M's,cookies,strawberries"	"100,10,10,100,100,10"	"Fiona,David,Emma,Diana,Ann,Barbara"	"Calvin,Bob,Albert,Frank,Edward,Cathy"	"1,0.75,0.95,0.7,0.95,0.95"	"0.25,0.5,0.925,0.975,0.275,0.95"	"0.25,0.225,0.925,0.925,0.15,0.925"	"0.025,0,0.95,0.95,0.025,0.925"	"0.025,0.025,0.95,0.95,0.025,0.95"	"0.025,0.025,0.95,0.95,0.025,0.95"	"0.025,0.025,0.95,0.725,0.025,0.95"	"0.025,0.025,0.975,0.45,0.025,0.95"	"0.025,0.025,0.975,0.275,0.025,0.675"	"0.025,0.025,0.95,0.15,0.025,0.65"	"0.025,0,0.975,0,0.025,0.675"
A3L60SOWLYEDN2	M	35	4	English	"1,2,3,4,5,6"	"cookies,bananas,pies,strawberries,blueberries,M&M's"	"100,10,10,100,100,10"	"Albert,Ann,Emma,Cathy,Frank,Calvin"	"Edward,Barbara,Diana,Fiona,Bob,David"	"0.9,1,0.475,1,1,0.5"	"0.675,0.925,0.85,0.65,0.875,1"	"0.35,0.8,0.55,0.325,0.675,0.725"	"0.15,0.075,0.25,0.1,0.375,0.35"	"0.1,0.05,0.175,0.075,0.275,0.25"	"0.075,0.05,0.1,0.05,0.175,0.175"	"0.05,0,0.05,0.05,0.075,0.25"	"0.05,0,0.05,0.05,0.05,0.05"	"0.075,0,0.05,0.05,0.05,0.1"	"0.05,0,0.05,0.05,0.05,0.075"	"0.05,0,0.025,0.075,0,0.05"
A30PFLFJX0OB8Y	M	25	4	English	"1,2,3,4,5,6"	"M&M's,strawberries,pies,bananas,blueberries,cookies"	"100,100,10,10,100,10"	"Albert,Edward,Cathy,David,Barbara,Ann"	"Diana,Frank,Calvin,Fiona,Emma,Bob"	"0.875,0.875,0.7,0.5,0.875,0.625"	"0.8,0.65,0.775,0.75,0.775,0.925"	"0.575,0.125,0.5,0.875,0.675,0.925"	"0.425,0.075,0.15,0.725,0.575,0.825"	"0.175,0.05,0.025,0.5,0.35,0.7"	"0.075,0,0,0.2,0.15,0.325"	"0.05,0.025,0,0.1,0.075,0.15"	"0.05,0.025,0.025,0.1,0.025,0.1"	"0.05,0,0.025,0.075,0,0.1"	"0.05,0.025,0,0.075,0,0.1"	"0,0,0,0.05,0.025,0.05"
A1FP3SH704X01V	F	25	4	english	"1,2,3,4,5,6"	"cookies,blueberries,bananas,pies,M&M's,strawberries"	"100,10,100,10,100,10"	"Ann,Calvin,Frank,Diana,Emma,Bob"	"Barbara,David,Albert,Cathy,Fiona,Edward"	"0.925,1,1,1,1,1"	"0.725,1,0.725,1,1,0.975"	"0.4,1,0,1,1,1"	"0.175,0.975,0,0,1,1"	"0.075,0.35,0,0,0,1"	"0.05,0.15,0,0,0,0"	"0,0.025,0,0,0,0"	"0.025,0,0,0,0,0"	"0,0,0.025,0,0.025,0"	"0.025,0,0,0,0,0"	"0,0,0.025,0,0,0"
A2E3TO92MCQ9XU	M	35	6	English	"1,2,3,4,5,6"	"cookies,pies,blueberries,bananas,M&M's,strawberries"	"10,10,100,100,10,100"	"Frank,Cathy,Albert,Calvin,Diana,David"	"Edward,Barbara,Bob,Emma,Fiona,Ann"	"0.5,0.5,0.7,1,0.5,1"	"1,1,0.7,0.5,1,0.725"	"1,0.525,0.575,0.225,0.85,0.5"	"0.7,0.4,0.475,0.025,0.725,0.225"	"0.5,0.275,0.35,0,0.625,0"	"0.5,0.175,0.25,0,0.45,0"	"0.35,0.075,0.125,0,0.3,0"	"0.3,0,0,0,0.175,0"	"0.275,0,0,0,0.1,0"	"0.225,0,0,0,0.075,0"	"0.15,0,0,0,0.05,0"
A31O5XYX80XD21	M	25	4	english	"1,2,3,4,5,6"	"strawberries,blueberries,cookies,pies,M&M's,bananas"	"10,10,10,100,100,100"	"Frank,Ann,Calvin,Emma,Barbara,Cathy"	"Fiona,Bob,Diana,David,Edward,Albert"	"0.5,0.675,0.625,0.875,0.925,0.875"	"0.9,0.925,0.9,0.2,0.7,0.125"	"0.55,0.525,0.425,0.075,0.425,0.1"	"0.275,0.2,0.275,0,0.325,0.1"	"0.15,0.125,0.15,0,0.25,0.075"	"0.175,0.1,0.075,0,0.2,0.05"	"0.1,0.1,0.075,0,0.1,0"	"0.075,0.1,0.075,0,0.075,0"	"0.075,0.075,0.05,0,0.075,0"	"0.075,0.075,0,0,0,0"	"0.075,0,0,0,0,0"
A2KDCBG2V9ERXM	F	45	6	English	"1,2,3,4,5,6"	"bananas,blueberries,M&M's,strawberries,pies,cookies"	"100,100,10,100,10,10"	"Ann,Fiona,Frank,Barbara,Bob,Emma"	"Diana,Albert,Edward,Cathy,David,Calvin"	"0.55,0.625,0.6,0.6,0.525,0.575"	"0,0.625,0.6,0.525,0.475,0.625"	"0.025,0.5,0.6,0.4,0.15,0.575"	"0.025,0.35,0.6,0.225,0.025,0.55"	"0,0.25,0.6,0.2,0.025,0.55"	"0,0.225,0.5,0.075,0,0.55"	"0,0.225,0.5,0.075,0.025,0.5"	"0,0.225,0.5,0,0.025,0.5"	"0,0.225,0.5,0,0,0.275"	"0.025,0.225,0.225,0.025,0,0.2"	"0,0.225,0.225,0.025,0,0.1"
A27LGC4MU1R7PQ	M	25	0	English	"1,2,3,4,5,6"	"bananas,cookies,M&M's,pies,strawberries,blueberries"	"100,10,100,10,10,100"	"Cathy,Diana,David,Emma,Edward,Bob"	"Barbara,Fiona,Frank,Ann,Albert,Calvin"	"0.6,0.5,0.575,0.525,0.5,0.575"	"0.05,0.575,0.5,0.5,0.6,0.4"	"0.025,0.575,0.2,0.025,0.525,0.15"	"0.025,0.375,0.025,0.025,0.25,0.05"	"0.025,0.225,0.025,0.025,0.075,0.05"	"0.025,0.1,0.025,0.025,0.025,0.05"	"0.025,0.05,0.025,0.025,0.025,0.05"	"0.025,0.025,0.025,0.025,0.025,0.05"	"0.025,0.025,0.025,0.025,0.025,0.05"	"0.025,0.025,0.025,0.025,0.025,0.05"	"0.025,0.025,0.025,0.025,0.025,0.05"
A3066746SS2O8Z	F	25	4	English	"1,2,3,4,5,6"	"strawberries,blueberries,cookies,bananas,pies,M&M's"	"10,10,10,100,100,100"	"Albert,Fiona,Ann,Cathy,Frank,Emma"	"Bob,Diana,David,Calvin,Edward,Barbara"	"0.5,0.5,0.275,0.725,0.5,1"	"0.75,0.75,1,0.075,0,1"	"0.75,0.75,1,0,0,0.725"	"0.75,0.65,0.75,0,0,0.5"	"0.75,0.45,0.575,0,0,0.5"	"0.75,0.3,0.275,0,0,0.275"	"0.5,0.25,0.2,0,0,0.275"	"0.5,0.225,0.175,0,0,0.15"	"0.275,0.225,0.175,0,0,0"	"0.25,0.175,0.175,0,0,0"	"0.2,0.1,0,0,0,0"
