"hitid"	"hittypeid"	"title"	"description"	"keywords"	"reward"	"creationtime"	"assignments"	"numavailable"	"numpending"	"numcomplete"	"hitstatus"	"reviewstatus"	"annotation"	"assignmentduration"	"autoapprovaldelay"	"hitlifetime"	"viewhit"	"assignmentid"	"workerid"	"assignmentstatus"	"autoapprovaltime"	"assignmentaccepttime"	"assignmentsubmittime"	"assignmentapprovaltime"	"assignmentrejecttime"	"deadline"	"feedback"	"reject"	"Answer.condition"	"Answer.priors0"	"Answer.priors1"	"Answer.priors2"	"Answer.priors3"	"Answer.priors4"	"Answer.priors5"	"Answer.priors6"	"Answer.priors7"	"Answer.priors8"	"Answer.priors9"	"Answer.priors10"	"Answer.quantifiers"	"Answer.orders"	"Answer.foods"	"Answer.quantities"	"Answer.personAs"	"Answer.personBs"	"Answer.gender"	"Answer.age"	"Answer.income"	"Answer.nativeLanguage"	"Answer.comments"
"3XBXDSS888KJYEU0KH7K55NS7LKLXD"	"3I3MQQJ31SJP3EUQ4VFGFXYP4VO1JM"	"Fun experiment about behavior!"	"Read scenarios about social situations and make estimations about other people's behaviors. This should take 5-6 minutes."	"food,behavior,survey,psychology,estimate,experiment,language"	"$0.50"	"Mon Nov 10 09:48:16 PST 2014"	"40"	"0"	"0"	"29"	"Reviewable"	"NotReviewed"	"1 1"	"3600"	"60000"	"Thu Nov 13 14:45:26 PST 2014"	"http://requester.mturk.com/mturk/manageHIT?HITId=3XBXDSS888KJYEU0KH7K55NS7LKLXD"	"3ND9UOO81K37WYN31EGZS648LNALWO"	1	"Approved"	"Tue Nov 11 02:30:17 PST 2014"	"Mon Nov 10 09:49:02 PST 2014"	"Mon Nov 10 09:50:17 PST 2014"	"Tue Nov 11 02:31:44 PST 2014"	""	""	""	""	"1"	"[0,0.025,0]"	"[0.8,0.475,0.5]"	"[0.875,0.9,0.7]"	"[0.875,0.975,0.95]"	"[0.95,0.9,0.925]"	"[0.9,0.875,0.925]"	"[0.775,0.775,0.85]"	"[0.575,0.625,0.8]"	"[0.55,0.425,0.725]"	"[0.275,0.275,0.55]"	"[0.025,0.025,0.025]"	"[""some"",""some"",""some""]"	"[1,2,3]"	"[""cookies"",""pies"",""M&M's""]"	"[10,10,10]"	"[""Ann"",""Barbara"",""Diana""]"	"[""Edward"",""Bob"",""Fiona""]"	"""M"""	"""25"""	"""8"""	"""english"""	""""""
"3XBXDSS888KJYEU0KH7K55NS7LKLXD"	"3I3MQQJ31SJP3EUQ4VFGFXYP4VO1JM"	"Fun experiment about behavior!"	"Read scenarios about social situations and make estimations about other people's behaviors. This should take 5-6 minutes."	"food,behavior,survey,psychology,estimate,experiment,language"	"$0.50"	"Mon Nov 10 09:48:16 PST 2014"	"40"	"0"	"0"	"29"	"Reviewable"	"NotReviewed"	"1 1"	"3600"	"60000"	"Thu Nov 13 14:45:26 PST 2014"	"http://requester.mturk.com/mturk/manageHIT?HITId=3XBXDSS888KJYEU0KH7K55NS7LKLXD"	"3QILPRALQ5WMUXU6FOG8RI5B8B6N8C"	2	"Approved"	"Tue Nov 11 02:30:52 PST 2014"	"Mon Nov 10 09:49:30 PST 2014"	"Mon Nov 10 09:50:52 PST 2014"	"Tue Nov 11 02:31:44 PST 2014"	""	""	""	""	"1"	"[0,0.5,0]"	"[0,0.25,0.075]"	"[0,0.025,0.175]"	"[0.875,0,0.35]"	"[0.9,0,0.475]"	"[0.875,0,0.5]"	"[0.85,0,0.55]"	"[0.8,0,0.675]"	"[0.775,0,0.75]"	"[0.75,0,0.775]"	"[0.675,0,0.775]"	"[""all"",""some"",""some""]"	"[1,2,3]"	"[""cookies"",""pies"",""M&M's""]"	"[10,10,10]"	"[""Albert"",""Diana"",""Calvin""]"	"[""Bob"",""Fiona"",""David""]"	"""M"""	"""35"""	"""11"""	"""English"""	""""""
"3XBXDSS888KJYEU0KH7K55NS7LKLXD"	"3I3MQQJ31SJP3EUQ4VFGFXYP4VO1JM"	"Fun experiment about behavior!"	"Read scenarios about social situations and make estimations about other people's behaviors. This should take 5-6 minutes."	"food,behavior,survey,psychology,estimate,experiment,language"	"$0.50"	"Mon Nov 10 09:48:16 PST 2014"	"40"	"0"	"0"	"29"	"Reviewable"	"NotReviewed"	"1 1"	"3600"	"60000"	"Thu Nov 13 14:45:26 PST 2014"	"http://requester.mturk.com/mturk/manageHIT?HITId=3XBXDSS888KJYEU0KH7K55NS7LKLXD"	"308Q0PEVB8EUU12PN09UM6456IUI9G"	3	"Approved"	"Tue Nov 11 02:30:58 PST 2014"	"Mon Nov 10 09:49:28 PST 2014"	"Mon Nov 10 09:50:58 PST 2014"	"Tue Nov 11 02:31:44 PST 2014"	""	""	""	""	"1"	"[0,0,0]"	"[0,0.8,0.85]"	"[0,0.825,0.875]"	"[0,0.725,0.8]"	"[0.025,0.75,0.725]"	"[0.025,0,0]"	"[0.025,0,0]"	"[0.025,0,0]"	"[0.025,0,0]"	"[0,0,0]"	"[1,0,0]"	"[""all"",""some"",""some""]"	"[1,2,3]"	"[""cookies"",""pies"",""M&M's""]"	"[10,10,10]"	"[""Ann"",""Fiona"",""Emma""]"	"[""David"",""Barbara"",""Cathy""]"	"""M"""	"""35"""	"""8"""	"""English"""	""""""
"3XBXDSS888KJYEU0KH7K55NS7LKLXD"	"3I3MQQJ31SJP3EUQ4VFGFXYP4VO1JM"	"Fun experiment about behavior!"	"Read scenarios about social situations and make estimations about other people's behaviors. This should take 5-6 minutes."	"food,behavior,survey,psychology,estimate,experiment,language"	"$0.50"	"Mon Nov 10 09:48:16 PST 2014"	"40"	"0"	"0"	"29"	"Reviewable"	"NotReviewed"	"1 1"	"3600"	"60000"	"Thu Nov 13 14:45:26 PST 2014"	"http://requester.mturk.com/mturk/manageHIT?HITId=3XBXDSS888KJYEU0KH7K55NS7LKLXD"	"3QECW5O0KH212SGOEMVHOX1CV3S5TU"	4	"Approved"	"Tue Nov 11 02:31:07 PST 2014"	"Mon Nov 10 09:49:25 PST 2014"	"Mon Nov 10 09:51:07 PST 2014"	"Tue Nov 11 02:31:44 PST 2014"	""	""	""	""	"1"	"[0.375,0.75,0.375]"	"[0.375,0.35,0.375]"	"[0.65,0.6,0.35]"	"[0.7,0.35,0.625]"	"[0.675,0.35,0.65]"	"[0.7,0.325,0.325]"	"[0.45,0.675,0.375]"	"[0.375,0.35,0.4]"	"[0.7,0.325,0.35]"	"[0.4,0.675,0.4]"	"[0.725,0.7,0.375]"	"[""some"",""some"",""all""]"	"[1,2,3]"	"[""cookies"",""pies"",""M&M's""]"	"[10,10,10]"	"[""David"",""Bob"",""Emma""]"	"[""Barbara"",""Edward"",""Diana""]"	"""M"""	"""35"""	"""4"""	"""english"""	""""""
"3XBXDSS888KJYEU0KH7K55NS7LKLXD"	"3I3MQQJ31SJP3EUQ4VFGFXYP4VO1JM"	"Fun experiment about behavior!"	"Read scenarios about social situations and make estimations about other people's behaviors. This should take 5-6 minutes."	"food,behavior,survey,psychology,estimate,experiment,language"	"$0.50"	"Mon Nov 10 09:48:16 PST 2014"	"40"	"0"	"0"	"29"	"Reviewable"	"NotReviewed"	"1 1"	"3600"	"60000"	"Thu Nov 13 14:45:26 PST 2014"	"http://requester.mturk.com/mturk/manageHIT?HITId=3XBXDSS888KJYEU0KH7K55NS7LKLXD"	"32AT8R96GLAH87TOQNYZM4X6S16SU9"	5	"Approved"	"Tue Nov 11 02:31:15 PST 2014"	"Mon Nov 10 09:49:35 PST 2014"	"Mon Nov 10 09:51:15 PST 2014"	"Tue Nov 11 02:31:44 PST 2014"	""	""	""	""	"1"	"[0,0,0]"	"[0.5,0,0]"	"[0.325,0,0]"	"[0.1,0,0.15]"	"[0.05,0,0.275]"	"[0,0,0.4]"	"[0,0.1,0.5]"	"[0,0.275,0.575]"	"[0,0.5,0.625]"	"[0,0.725,0.675]"	"[0,0.875,0.8]"	"[""some"",""all"",""all""]"	"[1,2,3]"	"[""pies"",""M&M's"",""cookies""]"	"[10,10,10]"	"[""Bob"",""Diana"",""Edward""]"	"[""Frank"",""Cathy"",""David""]"	"""M"""	"""35"""	"""10"""	"""english"""	""""""
"3XBXDSS888KJYEU0KH7K55NS7LKLXD"	"3I3MQQJ31SJP3EUQ4VFGFXYP4VO1JM"	"Fun experiment about behavior!"	"Read scenarios about social situations and make estimations about other people's behaviors. This should take 5-6 minutes."	"food,behavior,survey,psychology,estimate,experiment,language"	"$0.50"	"Mon Nov 10 09:48:16 PST 2014"	"40"	"0"	"0"	"29"	"Reviewable"	"NotReviewed"	"1 1"	"3600"	"60000"	"Thu Nov 13 14:45:26 PST 2014"	"http://requester.mturk.com/mturk/manageHIT?HITId=3XBXDSS888KJYEU0KH7K55NS7LKLXD"	"3CFJTT4SXTRQGIEW83BA8ADZBS6I74"	6	"Approved"	"Tue Nov 11 02:31:58 PST 2014"	"Mon Nov 10 09:49:23 PST 2014"	"Mon Nov 10 09:51:58 PST 2014"	"Tue Nov 11 02:36:44 PST 2014"	""	""	""	""	"1"	"[0,0,0]"	"[0,1,0]"	"[0,1,0]"	"[0.15,0.675,0.675]"	"[0.175,0.125,0.675]"	"[0.325,0.125,0.8]"	"[0.475,0,1]"	"[0.6,0,1]"	"[0.8,0,1]"	"[0.725,0,0.85]"	"[0.625,0,0]"	"[""all"",""all"",""some""]"	"[1,2,3]"	"[""cookies"",""pies"",""M&M's""]"	"[10,10,10]"	"[""Albert"",""Edward"",""Fiona""]"	"[""Ann"",""Barbara"",""Cathy""]"	"""M"""	"""35"""	"""4"""	"""English"""	""""""
"3XBXDSS888KJYEU0KH7K55NS7LKLXD"	"3I3MQQJ31SJP3EUQ4VFGFXYP4VO1JM"	"Fun experiment about behavior!"	"Read scenarios about social situations and make estimations about other people's behaviors. This should take 5-6 minutes."	"food,behavior,survey,psychology,estimate,experiment,language"	"$0.50"	"Mon Nov 10 09:48:16 PST 2014"	"40"	"0"	"0"	"29"	"Reviewable"	"NotReviewed"	"1 1"	"3600"	"60000"	"Thu Nov 13 14:45:26 PST 2014"	"http://requester.mturk.com/mturk/manageHIT?HITId=3XBXDSS888KJYEU0KH7K55NS7LKLXD"	"3DBQWDE4Y6Z37FB4HQ95FYVK6L5N5A"	7	"Approved"	"Tue Nov 11 02:31:59 PST 2014"	"Mon Nov 10 09:49:09 PST 2014"	"Mon Nov 10 09:51:59 PST 2014"	"Tue Nov 11 02:36:44 PST 2014"	""	""	""	""	"1"	"[0,0,0.675]"	"[0.575,0,0.6]"	"[0.6,0,0.575]"	"[1,0,0.6]"	"[0.025,0.025,0.575]"	"[0,0.025,0.625]"	"[0,0,0.45]"	"[0,0,0.375]"	"[0,0,0.25]"	"[0,0,0.2]"	"[0,1,0]"	"[""some"",""all"",""some""]"	"[1,2,3]"	"[""cookies"",""pies"",""M&M's""]"	"[10,10,10]"	"[""Ann"",""Barbara"",""Diana""]"	"[""Bob"",""Fiona"",""Edward""]"	"""F"""	"""45"""	"""0"""	"""English"""	""""""
"3XBXDSS888KJYEU0KH7K55NS7LKLXD"	"3I3MQQJ31SJP3EUQ4VFGFXYP4VO1JM"	"Fun experiment about behavior!"	"Read scenarios about social situations and make estimations about other people's behaviors. This should take 5-6 minutes."	"food,behavior,survey,psychology,estimate,experiment,language"	"$0.50"	"Mon Nov 10 09:48:16 PST 2014"	"40"	"0"	"0"	"29"	"Reviewable"	"NotReviewed"	"1 1"	"3600"	"60000"	"Thu Nov 13 14:45:26 PST 2014"	"http://requester.mturk.com/mturk/manageHIT?HITId=3XBXDSS888KJYEU0KH7K55NS7LKLXD"	"358010RM5EUPH34NPNERHYGHLNHXVB"	8	"Approved"	"Tue Nov 11 02:32:25 PST 2014"	"Mon Nov 10 09:49:33 PST 2014"	"Mon Nov 10 09:52:25 PST 2014"	"Tue Nov 11 02:36:44 PST 2014"	""	""	""	""	"1"	"[1,1,0.975]"	"[1,1,0.95]"	"[0.8,1,0.95]"	"[0.775,1,0.95]"	"[0.65,0.775,0.775]"	"[0.575,0.725,0.7]"	"[0.5,0.7,0.65]"	"[0.35,0.675,0.625]"	"[0.25,0.675,0.6]"	"[0.2,0.675,0.375]"	"[0.05,0.7,0]"	"[""some"",""all"",""some""]"	"[1,2,3]"	"[""cookies"",""pies"",""M&M's""]"	"[10,10,10]"	"[""Ann"",""David"",""Fiona""]"	"[""Edward"",""Emma"",""Cathy""]"	"""M"""	"""25"""	"""6"""	"""English"""	""""""
"3XBXDSS888KJYEU0KH7K55NS7LKLXD"	"3I3MQQJ31SJP3EUQ4VFGFXYP4VO1JM"	"Fun experiment about behavior!"	"Read scenarios about social situations and make estimations about other people's behaviors. This should take 5-6 minutes."	"food,behavior,survey,psychology,estimate,experiment,language"	"$0.50"	"Mon Nov 10 09:48:16 PST 2014"	"40"	"0"	"0"	"29"	"Reviewable"	"NotReviewed"	"1 1"	"3600"	"60000"	"Thu Nov 13 14:45:26 PST 2014"	"http://requester.mturk.com/mturk/manageHIT?HITId=3XBXDSS888KJYEU0KH7K55NS7LKLXD"	"3CPLWGV3MO0M82DGKGMMRE0MSHON91"	9	"Approved"	"Tue Nov 11 02:33:11 PST 2014"	"Mon Nov 10 09:49:36 PST 2014"	"Mon Nov 10 09:53:11 PST 2014"	"Tue Nov 11 02:36:44 PST 2014"	""	""	""	""	"1"	"[0.35,0.375,0.7]"	"[0.825,0.65,0.625]"	"[0.35,0.4,0.625]"	"[0.425,0.675,0.75]"	"[0.3,0.675,0.775]"	"[0.35,0.625,0.7]"	"[0.65,0.4,0.7]"	"[0.375,0.65,0.675]"	"[0.4,0.675,0.425]"	"[0.375,0.4,0.675]"	"[0.375,0.675,0.4]"	"[""all"",""all"",""all""]"	"[1,2,3]"	"[""pies"",""M&M's"",""cookies""]"	"[10,10,10]"	"[""Cathy"",""Ann"",""Emma""]"	"[""Albert"",""Edward"",""David""]"	"""F"""	"""35"""	"""6"""	"""english"""	""""""
"3XBXDSS888KJYEU0KH7K55NS7LKLXD"	"3I3MQQJ31SJP3EUQ4VFGFXYP4VO1JM"	"Fun experiment about behavior!"	"Read scenarios about social situations and make estimations about other people's behaviors. This should take 5-6 minutes."	"food,behavior,survey,psychology,estimate,experiment,language"	"$0.50"	"Mon Nov 10 09:48:16 PST 2014"	"40"	"0"	"0"	"29"	"Reviewable"	"NotReviewed"	"1 1"	"3600"	"60000"	"Thu Nov 13 14:45:26 PST 2014"	"http://requester.mturk.com/mturk/manageHIT?HITId=3XBXDSS888KJYEU0KH7K55NS7LKLXD"	"3JNQLM5FT4NLKIPWNURS4ZOJHGF2LN"	10	"Approved"	"Tue Nov 11 02:33:26 PST 2014"	"Mon Nov 10 09:49:22 PST 2014"	"Mon Nov 10 09:53:26 PST 2014"	"Tue Nov 11 02:36:44 PST 2014"	""	""	""	""	"1"	"[0.025,0.025,0]"	"[0.125,0.025,0.025]"	"[0.5,0.025,0.025]"	"[0.925,0,0.025]"	"[0.9,0.025,0.025]"	"[0.5,0.025,0.025]"	"[0.125,0.05,0.05]"	"[0.125,0.025,0.075]"	"[0.05,0,0.075]"	"[0.075,0.1,0.075]"	"[0.025,0.95,0.95]"	"[""some"",""all"",""all""]"	"[1,2,3]"	"[""pies"",""M&M's"",""cookies""]"	"[10,10,10]"	"[""Albert"",""Emma"",""Diana""]"	"[""Frank"",""David"",""Edward""]"	"""F"""	"""65"""	"""6"""	"""english"""	""""""
