Item_ID	Before	After
26:56	###.###and, uh, we were, i was fortunate in that i was personally acquainted with the, uh, people who, uh, --n400945 ran the nursing home in our little hometown.###.###yeah.###.###so, i was very comfortable, you know, in --n400aee doing it when it got to the point that we had --n400b21 to do it --n400b34 --n400b3b.###but there's,###well, i had an occasion for my mother-in-law who --n400ccc had fell and needed to be, you know, could not take care of herself anymore, was confined --n400d27 to a nursing home for a while###that was really not a very good experience.###uh, it had --n400f46 to be done --n400f59 in a hurry.	###and it was really not, not very good, uh, deal.###.###yeah.
41:71	###we were not really happy with, nursing home that we finally had --n40121a.###.###yeah.###.###fortunately, she only had --n4012e0 to stay a few weeks###and she was able --n40136e to, to return to her apartment again.###but it's really a big, uh, big, uh, decision as to, you know, when to do it --n4014a2.###.###yeah.###.	###of course, you know, there's not one on every corner, especially, you know, smaller areas, smaller towns.###.###yeah.
76:58	###uh-huh.###.###.###uh-huh.###.###because it was, you know, it was just a change of, change of location###and it was very disturbing for her because she had been so used to traveling.###.###yes.###.	###.###uh-huh###.
119:4	###my mother, excuse me.### go ahead.###.###yeah.###well, my, uh, my, uh,###probably one of the biggest decisions i think that --n402bba was very strengthening for our family was rather than have one child make that decision than just delegate it.###.###uh-huh.###.###i think that they, they had a great deal of, um,	###and they actually had a conference.###.###that's great.
189:53	###my mother also was very very independent.###she had her own, still had her own little house and still driving her own car, at age eighty-three.###.###yeah.###.###we were lucky in, that in one respect in that after she had her stroke she wasn't really, you know, really much aware of what --n4043b8 was going on.###.###uh-huh.###.###that nursing home life would not have been, you know, anything of her choosing,	###.###um.###.
325:23	###yes.###.###you know i mean, of course there, there comes other issues, you know, whether or not any of the grandparents whether we feel like are going to be a good, they're going --n406cdf to be a good caretaker for our children.###.###yes,###.###but,###.###just because they're grandparents.###.	###.###yeah.###just because they're grandparents that doesn't automatically make them a good child carer.
430:34	###.###.###uh-huh.###.###.###uh-huh.###.###.###uh-huh.###um, you know, there's real no, no real dress code where i work --n400983.	###i, um, don't like --n400b1a to wear heels,###that really tires me out.###i work in a big building.
441:104	###i, um, don't like --n400b1a to wear heels,###that really tires me out.###i work in a big building.###.###yeah.###.###so, i predominantly wear flat shoes.###um, you know, in the winter i wear sweaters,###in summer i, you know, i like one piece dresses, short sleeves, things like that.###.	###.###right.###.
656:76	###.###terrain.###.###yeah.### is, is fairly famili-,.###the thing that i thought --n400ab0 was interesting was that the critics,###apparently it's going --n400b7d to win everything.###.###really.###.	###.###that's true.###.
664:20	###really.###.###uh, and i had been told --n400c27, you know, you wouldn't notice that it was three hours long, and all this, kind of,###.###that's true.###.###.###i agree with that.###um, i, i noticed yesterday in the paper, something --n400e42 said that it,###i think it's been nominated --n400f42 for twelve awards	###so, it, it has surprised everybody.###.###well, the interesting thing was is i had heard that,
