Item_ID	Sentence	Pre	ParentString	Partitive	ParentNode	NoPreNode	GrammFunction	Objects	NPNiteID
26:56	i mean, we didn't have, you know, like six months --n40101d to check all of these places out.	check	check all of these places out	yes	VP		NP	NP-OBJ	sw2005_s18_518
41:71	you know, is there something else we could have done --n401608, you know, in --n401623 checking out all the places that, uh, --n40164e might be available.	out	checking out all the places that, uh, --n40164e might be available	nullpartitive	VP		NP	NP-OTHER	sw2005_s27_526
76:58	i mean, she tr-, she had, she had children all across the united states	children	children all across the united states	no	NP			NP-OTHER	
119:4	all the brothers and sisters got together			nullpartitive			NP-SBJ		sw2005_s72_501
189:53	of course, she would, she would not have been happy there at all.	at	at all	no	ADVP				
325:23	i mean they raised us after all.	after	after all	no	ADVP				
430:34	um, you see people wearing, you know, all different attire.	know	wearing, you know, all different attire	no	VP			NP-OTHER	
441:104	i've recently, um, tried --n400e84 to update my wardrobe, --n400e9f trying --n400eaa to put suits --n400ebd together that i can interchange, --n400edc the, jackets and the blouses and all that a lot.	and	the, jackets and the blouses and all that	nullpartitive	NP		NP	NP-OTHER	sw2008_s31_528
656:76	uh, and i had been told --n400c27, you know, you wouldn't notice that it was three hours long, and all this, kind of,	and	was three hours long, and all this, kind of	nullpartitive	VP		NP-ETC	NP-OTHER	sw2010_s31_523
664:20	and, and all the critics initially said that, you know, it wouldn't go anywhere, that it was just going --n401024 to be a dud.		and, and all the critics initially said that, you know, it wouldn't go anywhere, that it was just going --n401024 to be a dud.	nullpartitive	S		NP-SBJ		sw2010_s36_505
766:37	and whether it, whether it won all kinds of awards or whether it just was okay at the box office, i think he would have been happy.	won	won all kinds of awards	no	VP		NP	NP-OBJ	sw2010_s110_513
811:55	it was him, but with a you know, with the beard and all that stuff.	and	the beard and all that stuff	nullpartitive	NP		NP	NP-OTHER	sw2010_s138_515
1007:10	and then all of, a sudden you get your thirty a week because now, they're advertising you.	then	and then all of, a sudden you get your thirty a week because now, they're advertising you.	yes	S		NP-ADV	NP-OTHER	sw2012_s94_502
1099:54	and which --n4077fc isn't of, always the case in all cultures,	in	in all cultures	no	PP		NP	NP-OTHER	sw2012_s154_517
1170:17	or you hear somebody all ready starting, reading off a list of stuff that they've read --n400a08 probably a thousand times that day already.	somebody	somebody all ready starting, reading off a list of stuff that they've read --n400a08 probably a thousand times that day already	no	NP			NP-OBJ	
1187:29	and most of them aren't from anybody at all.	at	at all	no	ADVP				
1189:45	what i would love --n401258 to see --n401267 done to stop all of this,	stop	stop all of this	yes	VP		NP	NP-OBJ	sw2015_s33_518
1205:16	but i still get all of those calls	get	get all of those calls	yes	VP		NP	NP-OBJ	sw2015_s44_504
1255:36	i just, um, don't particularly care for that at all.	at	at all	no	ADVP				
1392:23	and i've never faced that at all.	at	at all	no	ADVP				
1566:61	but we don't want --n403eec to miss any of those p t a --s and, you know, all of that.	know	any of those p t a --s and, you know, all of that	yes	NP		NP	NP-OTHER	sw2018_s145_508
1680:23	i, uh, listen to it all the time in, in my car,	it	listen to it all the time in, in my car	nullpartitive	VP		NP-TMP		sw2020_s6_506
1773:51	and, uh, she thinks it --n40283a's pretty funny how often i know all of the words to songs that she's listening to --n402889 --n402890,	know	know all of the words to songs that she's listening to --n402889 --n402890	yes	VP		NP	NP-OBJ	sw2020_s65_516
1946:123	i mean, i like, you know, things like --n4068bf to hear, you know, what they call --n4068ea world music. which --n406901 is, you know, using all these natural forms of music	using	using all these natural forms of music	nullpartitive	VP		NP	NP-OBJ	sw2020_s175_546
2067:41	and i made a lotus spreadsheet and went through the year --n400249 using all of our, our checkbook --n40026c to figure out what we spent --n40028b each time and whether we were over or under for each month	using	using all of our, our checkbook --n40026c to figure out what we spent --n40028b each time and whether we were over or under for each month	yes	VP		NP	NP-OBJ	sw2022_s7_511
2085:14	what do you all do --n400b65.	you	you all	no	NP-SBJ		NP-SBJ	NP-IOBJ	sw2022_s17_503
2127:55	we've taken that this year, and said we're going --n40244e to pay off all of our credit cards	off	pay off all of our credit cards	yes	VP		NP	NP-OTHER	sw2022_s49_518
2154:14	what are you all trying --n402b72 to do --n402b81 long term.	you	you all	no	NP-SBJ-N402B72		NP-SBJ-N402B72	NP-IOBJ	sw2022_s62_503
2158:73	he ha-, you know, his retirement plan and then to coda and stuff like that, that's all we,	's	's all we	no	VP		NP-PRD	NP-OTHER	sw2022_s65_523
2236:13	that's about all for mine.	about	's about all for mine	no	VP		NP-PRD		sw2022_s121_504
2265:43	and i, i really enjoyed, you know, all the little things --n40084c that you find --n40085f out about texas.	know	enjoyed, you know, all the little things --n40084c that you find --n40085f out about texas	nullpartitive	VP		NP	NP-OTHER	sw2024_s13_513
2322:16	uh, so that's all in self improvement to stay focused on who the customer is --n402405	's	's all in self improvement to stay focused on who the customer is --n402405	no	VP				
2323:25	and as you probably well know, all of us are our own customer.	know	and as you probably well know, all of us are our own customer.	yes	S		NP-SBJ	NP-OTHER	sw2024_s52_507
2328:217	um, every now and then i'm loaned --n402668 a tape i can stick --n402687 in the, uh, in the car cassette set on the way home to make the drive more enjoyable, talking about, uh, better outlooks on things and the philosophy of, of pat hagerty and these kind of, uh, mind stimulating philosophy type. which --n40276a all, you know, betters yourself.		--n40276a all	no	NP-SBJ		NP-SBJ	NP-OTHER	sw2024_s55_562
2361:28	um, our supervisor, uh, subtly bought all of us a book called what every supervisor should know --n403583. by a man, man named doctor bittel, b i t t e l	bought	bought all of us a book called what every supervisor should know --n403583. by a man, man named doctor bittel, b i t t e l	yes	VP		NP	NP-OBJ	sw2024_s74_506
2387:21	and, of course, they're all just a little spookier than the movies,	're	're all just a little spookier than the movies	no	VP				
2409:20	and, and all that kind of rolls in together there,		and, and all that kind of rolls in together there,	nullpartitive	S		NP-SBJ		sw2024_s106_505
2472:33	and we have a lot of government folks come in all the time	in	come in all the time	nullpartitive	VP		NP-TMP		sw2027_s29_510
2520:16	and it went up all the way to the head of facilities, complaining that we were wearing shorts.	up	up all the way to the head of facilities	nullpartitive	PP		NP-ADV		sw2027_s64_505
2539:23	and you can call them culottes all you want --n40318d	culottes	call them culottes all you want --n40318d	no	VP		NP-ADV	NP-OTHER	sw2027_s76_507
2541:11	that's all they were --n40326e.	's	's all they were --n40326e	no	VP		NP-PRD	NP-OTHER	sw2027_s78_503
2626:75	when i was looking at her materials --n405216 when she first started, you know, --n40523d she had her benefits package and all that kind of stuff.	and	her benefits package and all that kind of stuff	nullpartitive	NP		NP	NP-OTHER	sw2027_s134_523
2913:78	it's amazing to me because i have only lived in dallas for three years, and i can not believe that the wind blows all the time.	blows	blows all the time	nullpartitive	VP		NP-TMP		sw2028_s75_525
3146:40	and, and, yeah, i take care of all the air modeling, specifically for the dallas area.	of	of all the air modeling, specifically for the dallas area	nullpartitive	PP		NP	NP-OTHER	sw2028_s214_510
3147:49	what we do --n406935, we have a weather station, that we get all of this information, you know, temperature, wind speed, wind direction --n4069a0,	get	get all of this information, you know, temperature, wind speed, wind direction --n4069a0	yes	VP		NP	NP-OBJ	sw2028_s215_516
3266:27	it's like brash metal, which all they do --n401c38 is like, they have this guitar and they just bang at the guitar --n401c7b,	which	which all they do --n401c38 is like, they have this guitar and they just bang at the guitar --n401c7b	no	SBAR		NP-SBJ	NP-OTHER	sw2032_s72_509
3287:75	and what you do --n40223b is, you also try --n40225a to get up on stage and jump down on top of all these other people.	of	of all these other people	nullpartitive	PP		NP	NP-OTHER	sw2032_s85_527
